510
0,-1,40
0,-1,0
1,-1,1
2,-1,2
3,-1,3
4,-1,4
5,-1,5
6,-1,6
7,-1,7
8,-1,8
9,-1,9
10,-1,10
11,-1,11
12,-1,12
13,-1,13
14,-1,14
15,-1,15
16,-1,16
17,-1,17
18,-1,18
19,-1,19
20,-1,20
21,-1,21
22,-1,22
23,-1,23
24,-1,24
25,-1,25
26,-1,26
27,-1,27
28,-1,28
29,-1,29
30,-1,30
31,-1,31
32,-1,32
33,-1,33
34,-1,34
35,-1,35
36,-1,36
37,-1,37
38,-1,38
39,-1,39
1,-1,41
0,-1,0
1,-1,1
2,1,2
3,-1,3
4,-1,4
5,1,5
6,-1,6
7,-1,7
8,-1,8
9,-1,9
10,-1,10
11,-1,11
12,5,12
13,3,13
14,-1,14
15,-1,15
16,-1,16
17,-1,17
18,-1,18
19,-1,19
20,-1,20
21,-1,21
22,-1,22
23,-1,23
24,-1,24
25,-1,25
26,-1,26
27,-1,27
28,-1,28
29,-1,29
30,-1,30
31,-1,31
32,-1,32
33,-1,33
34,-1,34
35,1,35
36,1,36
37,-1,37
38,1,38
39,3,39
40,1,40
2,-1,44
0,-1,0
1,-1,1
2,-1,2
3,3,3
4,-1,4
5,-1,5
6,-1,6
7,-1,7
8,-1,8
9,1,9
10,-1,10
11,5,11
12,-1,12
13,-1,13
14,-1,14
15,-1,15
16,-1,16
17,-1,17
18,-1,18
19,-1,19
20,-1,20
21,-1,21
22,-1,22
23,1,23
24,-1,24
25,-1,25
26,-1,26
27,-1,27
28,-1,28
29,-1,29
30,-1,30
31,-1,31
32,-1,32
33,-1,33
34,-1,34
35,-1,35
36,3,36
37,-1,37
38,-1,38
39,-1,39
40,-1,40
41,5,41
42,1,42
43,-1,43
3,-1,45
0,-1,0
1,-1,1
2,-1,2
3,-1,3
4,1,4
5,-1,5
6,-1,6
7,5,7
8,-1,8
9,-1,9
10,-1,10
11,3,11
12,-1,12
13,-1,13
14,-1,14
15,-1,15
16,-1,16
17,1,17
18,-1,18
19,-1,19
20,-1,20
21,-1,21
22,5,22
23,-1,23
24,-1,24
25,-1,25
26,-1,26
27,-1,27
28,-1,28
29,-1,29
30,-1,30
31,-1,31
32,-1,32
33,5,33
34,-1,34
35,-1,35
36,-1,36
37,-1,37
38,3,38
39,-1,39
40,-1,40
41,-1,41
42,-1,42
43,-1,43
44,1,44
4,-1,40
0,-1,0
1,1,1
2,-1,2
3,-1,3
4,1,4
5,-1,5
